timestep, temperature_gpu, type, power_draw_w, power_limit_w, g_clock_freq_mhz, mem_clock_freq_mhz, sm_clock_freq_mhz
0, 36, shm_nested, 107, 350,1695,9501,1695
1, 36, shm_nested, 107, 350,1695,9501,1695
2, 37, shm_nested, 107, 350,1695,9501,1695
3, 37, shm_nested, 107, 350,1695,9501,1695
4, 37, shm_nested, 107, 350,1695,9501,1695
5, 37, shm_nested, 107, 350,1695,9501,1695
6, 37, shm_nested, 107, 350,1695,9501,1695
7, 37, shm_nested, 107, 350,1695,9501,1695
8, 37, shm_nested, 107, 350,1695,9501,1695
9, 37, shm_nested, 107, 350,1695,9501,1695
10, 37, shm_nested, 107, 350,1695,9501,1695
11, 37, shm_nested, 107, 350,1695,9501,1695
12, 37, shm_nested, 107, 350,1695,9501,1695
13, 37, shm_nested, 107, 350,1695,9501,1695
14, 37, shm_nested, 107, 350,1695,9501,1695
15, 37, shm_nested, 107, 350,1695,9501,1695
16, 37, shm_nested, 107, 350,1695,9501,1695
17, 37, shm_nested, 107, 350,1695,9501,1695
18, 37, shm_nested, 107, 350,1695,9501,1695
19, 37, shm_nested, 107, 350,1695,9501,1695
20, 37, shm_nested, 107, 350,1695,9501,1695
21, 37, shm_nested, 108, 350,1695,9501,1695
22, 37, shm_nested, 108, 350,1695,9501,1695
23, 37, shm_nested, 108, 350,1695,9501,1695
24, 37, shm_nested, 108, 350,1695,9501,1695
25, 37, shm_nested, 108, 350,1695,9501,1695
26, 37, shm_nested, 108, 350,1695,9501,1695
27, 37, shm_nested, 108, 350,1695,9501,1695
28, 37, shm_nested, 108, 350,1695,9501,1695
29, 37, shm_nested, 108, 350,1695,9501,1695
30, 37, shm_nested, 108, 350,1695,9501,1695
31, 37, shm_nested, 108, 350,1695,9501,1695
32, 37, shm_nested, 108, 350,1695,9501,1695
33, 37, shm_nested, 108, 350,1695,9501,1695
34, 37, shm_nested, 108, 350,1695,9501,1695
35, 37, shm_nested, 108, 350,1695,9501,1695
36, 37, shm_nested, 108, 350,1695,9501,1695
37, 37, shm_nested, 108, 350,1695,9501,1695
38, 37, shm_nested, 108, 350,1695,9501,1695
39, 37, shm_nested, 108, 350,1695,9501,1695
40, 37, shm_nested, 108, 350,1695,9501,1695
41, 37, shm_nested, 108, 350,1695,9501,1695
42, 37, shm_nested, 108, 350,1695,9501,1695
43, 37, shm_nested, 108, 350,1695,9501,1695
44, 37, shm_nested, 108, 350,1695,9501,1695
45, 37, shm_nested, 108, 350,1695,9501,1695
46, 37, shm_nested, 108, 350,1695,9501,1695
47, 37, shm_nested, 108, 350,1695,9501,1695
48, 37, shm_nested, 108, 350,1695,9501,1695
49, 37, shm_nested, 108, 350,1695,9501,1695
50, 37, shm_nested, 108, 350,1695,9501,1695
51, 37, shm_nested, 108, 350,1695,9501,1695
52, 37, shm_nested, 108, 350,1695,9501,1695
53, 37, shm_nested, 108, 350,1695,9501,1695
54, 37, shm_nested, 108, 350,1695,9501,1695
55, 37, shm_nested, 108, 350,1695,9501,1695
56, 37, shm_nested, 108, 350,1695,9501,1695
57, 37, shm_nested, 108, 350,1695,9501,1695
